City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,gimli,50.6336,-96.9907,64.42,36,5,9.22,CA,1662758002
262,maceio,-9.6658,-35.7353,74.64,88,75,8.05,BR,1662757911
263,walvis bay,-22.9575,14.5053,53.1,93,0,3.44,NA,1662758168
264,saint george,37.1041,-113.5841,100.63,23,0,17.27,US,1662757978
265,saint-philippe,-21.3585,55.7679,65.79,79,53,13.11,RE,1662758168
266,namibe,-15.1961,12.1522,65.86,87,57,8.59,AO,1662758169
267,sabha,27.0377,14.4283,80.58,28,0,10.76,LY,1662758169
268,chipata,-13.6333,32.65,65.8,42,16,4.09,ZM,1662758170
269,tigzirt,36.8886,4.1198,77.59,61,4,4.09,DZ,1662758170
270,ibra,22.6906,58.5334,79.39,59,12,4.25,OM,1662758171
271,kemin,42.7846,75.6892,63.27,44,18,5.64,KG,1662758171
272,bowen,-20.0167,148.2333,68.67,86,0,5.91,AU,1662758172
273,balod,20.73,81.2047,74.26,94,100,4.72,IN,1662758173
274,lagoa,39.05,-27.9833,72.91,78,21,24.05,PT,1662758173
275,olafsvik,64.8945,-23.7142,53.19,89,99,10.36,IS,1662758173
276,norman wells,65.282,-126.8329,59.04,55,75,14.97,CA,1662758174
277,shingu,33.7333,135.9833,75.74,91,35,6.17,JP,1662758174
278,chuy,-33.6971,-53.4616,48.74,69,76,17.27,UY,1662758175
279,sungaipenuh,-2.0833,101.3833,63.07,95,100,2.44,ID,1662758175
280,rondonopolis,-16.4708,-54.6356,98.85,14,12,3.36,BR,1662758050
281,vostok,46.4856,135.8833,43.59,73,0,2.75,RU,1662758176
282,hurghada,27.2574,33.8129,85.32,44,0,16.28,EG,1662758177
283,sobolevo,54.4299,31.8996,40.48,70,1,7.25,RU,1662758177
284,thinadhoo,0.5333,72.9333,81.5,73,55,11.21,MV,1662758177
285,demirci,39.0461,28.6589,66.2,40,0,6.04,TR,1662758178
286,tonstad,58.6626,6.7169,55.76,67,95,22.66,NO,1662758178
287,victoria,22.2855,114.1577,83.32,78,8,4.0,HK,1662758055
288,manubul,5.4732,120.7986,82.22,73,100,6.22,PH,1662758179
289,touros,-5.1989,-35.4608,76.1,78,2,14.27,BR,1662758179
290,beihai,21.4833,109.1,80.89,73,68,6.96,CN,1662758180
291,leningradskiy,69.3833,178.4167,42.75,57,40,5.77,RU,1662758181
292,monrovia,6.3005,-10.7969,77.79,82,100,9.15,LR,1662758182
293,hachinohe,40.5,141.5,64.71,89,10,1.63,JP,1662758182
294,fortuna,40.5982,-124.1573,81.93,57,1,3.0,US,1662758183
295,montrose,38.4166,-108.2673,83.61,14,17,12.53,US,1662758183
296,poum,-20.2333,164.0167,74.46,81,25,10.04,NC,1662758184
297,piopio,-38.4667,175.0167,52.09,90,100,5.08,NZ,1662758184
298,sedalia,38.7045,-93.2283,85.71,39,0,4.61,US,1662758033
299,coquimbo,-29.9533,-71.3436,58.73,67,0,11.5,CL,1662757996
300,danielskuil,-28.1887,23.5395,58.98,17,0,2.68,ZA,1662758185
301,seoul,37.5683,126.9778,67.57,52,0,4.61,KR,1662758038
302,bumba,2.1833,22.4667,69.58,95,95,0.85,CD,1662758186
303,kavieng,-2.5744,150.7967,82.09,75,58,11.9,PG,1662758186
304,chaman,30.9236,66.4512,80.8,20,0,3.27,PK,1662758186
305,ginda,30.6945,78.4932,64.65,94,67,1.88,IN,1662758187
306,najran,17.4924,44.1277,81.25,21,54,2.21,SA,1662758187
307,phibun mangsahan,15.2447,105.2291,78.78,96,99,4.5,TH,1662758188
308,arraial do cabo,-22.9661,-42.0278,75.16,78,0,16.11,BR,1662758188
309,adwa,14.1646,38.8955,62.44,78,100,3.4,ET,1662758189
310,saint-augustin,51.226,-58.6502,64.22,62,86,7.27,CA,1662758189
311,tuatapere,-46.1333,167.6833,41.52,85,10,3.8,NZ,1662758189
312,yangjiang,21.85,111.9667,75.31,78,82,3.13,CN,1662758190
313,canico,32.6333,-16.85,77.0,90,40,3.44,PT,1662758190
314,jalu,29.0331,21.5482,81.75,34,3,11.14,LY,1662758191
315,genhe,50.7833,121.5167,52.63,69,37,3.15,CN,1662758191
316,nelson bay,-32.7167,152.15,59.09,88,23,5.99,AU,1662758192
317,road town,18.4167,-64.6167,87.89,79,20,5.75,VG,1662758192
318,los andes,-32.8337,-70.5983,63.01,29,0,4.18,CL,1662758193
319,karratha,-20.7377,116.8463,65.03,71,0,11.77,AU,1662758193
320,hualmay,-11.0964,-77.6139,64.27,73,14,13.78,PE,1662758194
321,sayaxche,16.5167,-90.1667,84.76,67,100,3.27,GT,1662758194
322,severodvinsk,64.5635,39.8302,48.31,85,100,7.29,RU,1662758194
323,belyy yar,53.6039,91.3903,44.85,81,0,0.0,RU,1662758195
324,antofagasta,-23.65,-70.4,58.28,75,13,8.88,CL,1662758139
325,aklavik,68.2191,-135.0107,47.17,69,100,7.25,CA,1662758196
326,cidreira,-30.1811,-50.2056,61.86,90,83,20.2,BR,1662758196
327,kalengwa,-13.4659,25.0027,64.26,34,100,5.19,ZM,1662758197
328,sayansk,54.1088,102.1648,40.62,96,100,0.98,RU,1662758197
329,fuyu,45.1833,124.8167,57.94,65,8,5.95,CN,1662758198
330,santo antonio,-6.3106,-35.4789,72.19,76,11,9.42,BR,1662758198
331,niquelandia,-14.4739,-48.4597,87.89,17,0,7.72,BR,1662758199
332,iberia,29.9502,-91.7507,88.09,45,0,8.05,US,1662758199
333,alofi,-19.0595,-169.9187,73.29,94,90,10.36,NU,1662758199
334,safaga,26.7292,33.9365,88.56,46,0,9.62,EG,1662758200
335,karatuzskoye,53.6072,92.8667,41.76,92,31,1.88,RU,1662758200
336,padang,-0.9492,100.3543,76.51,77,100,4.79,ID,1662758198
337,houlton,46.1262,-67.8403,75.61,53,0,4.61,US,1662758201
338,tutin,42.9903,20.3314,60.15,92,15,4.79,RS,1662758202
339,chapais,49.7834,-74.8492,76.78,43,78,8.86,CA,1662758202
340,baghdad,33.3406,44.4009,94.91,23,0,8.05,IQ,1662758106
341,chicama,-7.8447,-79.1469,61.34,62,14,9.33,PE,1662758203
342,nyaunglebin,17.95,96.7333,75.51,95,100,2.53,MM,1662758203
343,takoradi,4.8845,-1.7554,74.75,89,55,10.13,GH,1662758204
344,bubaque,11.2833,-15.8333,78.96,82,98,16.64,GW,1662758204
345,wylie,33.0151,-96.5389,91.72,40,0,6.91,US,1662757988
346,dobryatino,55.5055,41.3195,45.93,59,100,4.29,RU,1662758205
347,limay,14.5333,120.55,75.34,87,99,6.42,PH,1662758205
348,berbera,10.4396,45.0143,89.53,59,99,3.36,SO,1662758205
349,tromso,69.6496,18.957,48.38,87,75,16.11,NO,1662758206
350,doba,8.65,16.85,71.46,97,73,3.33,TD,1662758206
351,naron,43.5167,-8.1528,67.05,86,36,3.27,ES,1662758207
352,gumdag,39.2061,54.5906,73.38,47,0,16.91,TM,1662758207
353,bardiyah,31.7561,25.0865,76.26,59,3,5.7,LY,1662758208
354,san juan,-31.5375,-68.5364,60.91,17,0,5.26,AR,1662758131
355,provideniya,64.3833,-173.3,48.65,65,85,6.13,RU,1662758208
356,lengshuitan,26.4111,111.5956,75.99,54,100,1.19,CN,1662758209
357,vila franca do campo,37.7167,-25.4333,76.19,87,62,10.45,PT,1662758209
358,timizart,36.8,4.2667,74.93,53,6,2.98,DZ,1662758210
359,skibbereen,51.55,-9.2667,59.11,88,28,3.49,IE,1662758210
360,teya,60.3778,92.6267,44.08,95,100,6.93,RU,1662758210
361,ayorou,14.7308,0.9174,86.4,51,59,14.18,NE,1662758211
362,sept-iles,50.2001,-66.3821,59.52,95,100,2.3,CA,1662758211
363,bon accord,53.8335,-113.4187,65.52,36,20,6.91,CA,1662758212
364,bayshore gardens,27.4253,-82.5904,80.64,73,40,9.22,US,1662758212
365,tabuk,17.4189,121.4443,72.48,93,59,1.72,PH,1662758212
366,khorinsk,52.1657,109.7726,52.29,73,96,4.14,RU,1662758213
